domain,keyword,province_name,job_title,company,location,salary,min_salary,max_salary,posted_date,job_url,matched_skills,matched_skill_count,skill_python,skill_r,skill_java,skill_scala,skill_c++,skill_sql & database,skill_mongodb,skill_elasticsearch,skill_pandas,skill_numpy,skill_scipy,skill_sklearn,skill_machine_learning,skill_deep_learning,skill_llm,skill_rag,skill_langchain,skill_openai,skill_huggingface,skill_prompt_engineering,skill_vector_db,skill_excel,skill_powerbi,skill_tableau,skill_matplotlib,skill_seaborn,skill_plotly,skill_spark,skill_hadoop,skill_kafka,skill_aws,skill_gcp,skill_azure,skill_etl,skill_airflow,skill_docker,skill_kubernetes,skill_mlflow,skill_fastapi,skill_flask,skill_streamlit,skill_statistics,skill_git,skill_api,skill_linux
JobsDB,Data Scientist,กรุงเทพมหานคร,Data Scientist,"CPF IT CENTER CO., LTD.",กรุงเทพมหานคร,,,,02/19/2026,https://th.jobsdb.com/th/job/90256135?type=standard&ref=search-standalone&origin=jobCard,python|sql & database|machine_learning|deep_learning|statistics,5,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,Data Scientist,KASIKORNBANK PUBLIC COMPANY LIMITED,กรุงเทพมหานครและปริมณฑล,,,,02/19/2026,https://th.jobsdb.com/th/job/90416020?type=standard&ref=search-standalone&origin=jobCard,python|sql & database|machine_learning|llm|rag,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,(GEM) Data Scientist สัญญาจ้าง (This position is under GEM Company Limited),Bangchak Corporation Public Company Limited,พระโขนง กรุงเทพมหานคร,"฿25,000 – ฿30,000 per month",25000,30000,02/18/2026,https://th.jobsdb.com/th/job/90384416?type=standard&ref=search-standalone&origin=jobCard,machine_learning|deep_learning,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,"Data Analyst, Data Scientist, Data Engineer",Land and Houses Bank Public Company Limited,สาทร กรุงเทพมหานคร,,,,01/24/2026,https://th.jobsdb.com/th/job/89901519?type=standard&ref=search-standalone&origin=jobCard,python|sql & database|pandas|machine_learning|llm|excel|powerbi|tableau|etl|airflow|statistics,11,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,"Lead Data Scientist (Retail & Wholesale, AI Initiatives)",Lotus's,บึงกุ่ม กรุงเทพมหานคร,,,,02/19/2026,https://th.jobsdb.com/th/job/90400379?type=standard&ref=search-standalone&origin=jobCard,python|r|sql & database|sklearn|machine_learning|rag|langchain|powerbi|tableau|spark|hadoop|aws|gcp|azure|statistics,15,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,Data Scientist (Accounting & Finance),Charoen Pokphand Foods Public Company Limited,สาทร กรุงเทพมหานคร,,,,02/12/2026,https://th.jobsdb.com/th/job/90283308?type=standard&ref=search-standalone&origin=jobCard,python|r|sql & database|machine_learning|powerbi|tableau|statistics,7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
JobsDB,Data Scientist,ระยอง,Data Scientist,UBE Chemicals (Asia) PCL.,เมืองระยอง ระยอง,"฿28,000 – ฿42,000 per month",28000,42000,01/29/2026,https://th.jobsdb.com/th/job/89979654?type=standard&ref=search-standalone&origin=jobCard,python|sql & database|sklearn|machine_learning|spark|statistics,6,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,Data Scientist & Analytics,Central Retail Corporation Public Company Limited,กรุงเทพมหานคร,,,,02/06/2026,https://th.jobsdb.com/th/job/90161264?type=standard&ref=search-standalone&origin=jobCard,python|sql & database|excel|powerbi|tableau|spark|hadoop|aws|azure|statistics,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,"Data Scientist, Makro CDC",CP Axtra (Makro),กรุงเทพมหานคร,,,,01/29/2026,https://th.jobsdb.com/th/job/89973354?type=standard&ref=search-standalone&origin=jobCard,python|sql & database|machine_learning|powerbi|spark|aws|azure|mlflow|statistics,9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,"Data Scientist, CP Axtra",CP Axtra (Makro),กรุงเทพมหานคร,,,,01/29/2026,https://th.jobsdb.com/th/job/89973263?type=standard&ref=search-standalone&origin=jobCard,python|sql & database|sklearn|machine_learning|powerbi|tableau|matplotlib|spark|kafka|aws|airflow|mlflow|statistics,13,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,Data Scientist (Contract 18 Months),บริษัท แอสเซนด์ กรุ๊ป จำกัด,กรุงเทพมหานคร,,,,01/31/2026,https://th.jobsdb.com/th/job/90041628?type=standard&ref=search-standalone&origin=jobCard,python|machine_learning|rag|spark|aws|azure|etl|statistics|git|api,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0
JobsDB,Data Scientist,กรุงเทพมหานคร,Data Science and Analytics,PTG Energy Public Company Limited,ห้วยขวาง กรุงเทพมหานคร,,,,02/13/2026,https://th.jobsdb.com/th/job/90310895?type=standard&ref=search-standalone&origin=jobCard,python|r|sql & database|machine_learning|excel|powerbi|tableau|spark|hadoop|aws|gcp|azure|statistics,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
JobsDB,Data Scientist,กรุงเทพมหานคร,Senior Data Scientist,"Invitrace Co., Ltd.",สาทร กรุงเทพมหานคร,"฿70,000 – ฿80,000 per month",70000,80000,02/01/2026,https://th.jobsdb.com/th/job/89929987?type=standard&ref=search-standalone&origin=jobCard,python|machine_learning|deep_learning|llm|rag|statistics|api,7,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
