keyword,province_code,province_name,page,job_title,company,location,salary,posted_date,job_url,raw_text
data analyst,,กรุงเทพมหานคร,1,Data Analyst,บริษัท เอฟซีซี เซอร์วิสเซส จำกัด,กรุงเทพมหานคร เขตจตุจักร,"17,000 - 22,000 บาท",17/02/2026 11:27,https://jobbkk.com/jobs/detailurgent/33965/356851,"Data Analyst บริษัท เอฟซีซี เซอร์วิสเซส จำกัด รับสมัครด่วน 2 ชั่วโมงที่แล้ว กรุงเทพมหานคร เขตจตุจักร 17,000 - 22,000 บาท Data Analyst บริษัท เอฟซีซี เซอร์วิสเซส จำกัด กรุงเทพมหานคร เขตจตุจักร 17,000 - 22,000 บาท นักศึกษาจบใหม่ / ผู้ไม่มีประสบการณ์ MRT ภาวนา อ่านรายละเอียดงาน"
data analyst,,กรุงเทพมหานคร,1,Data Analyst,บริษัท ไวท์ไลน์แอคทิเวชัน จำกัด,กรุงเทพมหานคร เขตราชเทวี,ตามตกลง,17/02/2026 09:51,https://jobbkk.com/jobs/detailurgent/58677/1319386,Data Analyst บริษัท ไวท์ไลน์แอคทิเวชัน จำกัด รับสมัครด่วน 3 ชั่วโมงที่แล้ว กรุงเทพมหานคร เขตราชเทวี ตามตกลง Data Analyst บริษัท ไวท์ไลน์แอคทิเวชัน จำกัด กรุงเทพมหานคร เขตราชเทวี ตามตกลง อ่านรายละเอียดงาน
data analyst,,กรุงเทพมหานคร,1,Data Analyst,บริษัท พูนธนามาร์เก็ตติ้ง จำกัด,กรุงเทพมหานคร เขตลาดพร้าว,"20,000 - 30,000 บาท",17/02/2026 08:33,https://jobbkk.com/jobs/detailurgent/42373/1280858,"Data Analyst บริษัท พูนธนามาร์เก็ตติ้ง จำกัด รับสมัครด่วน 5 ชั่วโมงที่แล้ว กรุงเทพมหานคร เขตลาดพร้าว 20,000 - 30,000 บาท Data Analyst บริษัท พูนธนามาร์เก็ตติ้ง จำกัด กรุงเทพมหานคร เขตลาดพร้าว 20,000 - 30,000 บาท นักศึกษาจบใหม่ / ผู้ไม่มีประสบการณ์ อ่านรายละเอียดงาน"
data analyst,,กรุงเทพมหานคร,1,Data Analyst,บริษัท อาร์เอสยู เฮลท์ แคร์ จำกัด,กรุงเทพมหานคร เขตคลองเตย,ตามตกลง,17/02/2026 08:21,https://jobbkk.com/jobs/detailurgent/40139/1359406,Data Analyst บริษัท อาร์เอสยู เฮลท์ แคร์ จำกัด รับสมัครด่วน 5 ชั่วโมงที่แล้ว กรุงเทพมหานคร เขตคลองเตย ตามตกลง Data Analyst บริษัท อาร์เอสยู เฮลท์ แคร์ จำกัด กรุงเทพมหานคร เขตคลองเตย ตามตกลง BTS พร้อมพงษ์ MRT สุขุมวิท อ่านรายละเอียดงาน
data analyst,,กรุงเทพมหานคร,1,Data Analyst,บริษัท แมส ช้อยส์ คอร์ปอเรชั่น จำกัด,กรุงเทพมหานคร เขตตลิ่งชัน,ตามตกลง,16/02/2026 17:51,https://jobbkk.com/jobs/detailurgent/43586/1268035,Data Analyst บริษัท แมส ช้อยส์ คอร์ปอเรชั่น จำกัด รับสมัครด่วน 19 ชั่วโมงที่แล้ว กรุงเทพมหานคร เขตตลิ่งชัน ตามตกลง Data Analyst บริษัท แมส ช้อยส์ คอร์ปอเรชั่น จำกัด กรุงเทพมหานคร เขตตลิ่งชัน ตามตกลง SRT ตลิ่งชัน อ่านรายละเอียดงาน
data analyst,,สมุทรสาคร,1,DATA Analyst,EP Asia Group Company Limited,สมุทรสาคร เมืองสมุทรสาคร,ตามตกลง,16/02/2026 14:57,https://jobbkk.com/jobs/detailurgent/193275/1039259,DATA Analyst EP Asia Group Company Limited รับสมัครด่วน 22 ชั่วโมงที่แล้ว สมุทรสาคร เมืองสมุทรสาคร ตามตกลง DATA Analyst EP Asia Group Company Limited สมุทรสาคร เมืองสมุทรสาคร ตามตกลง นักศึกษาจบใหม่ / ผู้ไม่มีประสบการณ์ อ่านรายละเอียดงาน
data analyst,,กรุงเทพมหานคร,1,เจ้าหน้าที่วิเคราะห์ข้อมูล (MIS / Data Analyst),บริษัท เมืองไทยประกันชีวิต จำกัด (มหาชน),กรุงเทพมหานคร เขตจตุจักร,ตามตกลง,13/02/2026 14:33,https://jobbkk.com/jobs/detailurgent/161183/1340623,เจ้าหน้าที่วิเคราะห์ข้อมูล (MIS / Data Analyst) บริษัท เมืองไทยประกันชีวิต จำกัด (มหาชน) รับสมัครด่วน 3 วันที่แล้ว กรุงเทพมหานคร เขตจตุจักร ตามตกลง เจ้าหน้าที่วิเคราะห์ข้อมูล (MIS / Data Analyst) บริษัท เมืองไทยประกันชีวิต จำกัด (มหาชน) กรุงเทพมหานคร เขตจตุจักร ตามตกลง MRT สุทธิสาร อ่านรายละเอียดงาน
data analyst,,กรุงเทพมหานคร,1,นักวิเคราะห์ข้อมูล (Data Analyst),บริษัท อวิเอเท็ค จำกัด,กรุงเทพมหานคร เขตบางนา,ตามตกลง,17/02/2026 10:39,https://jobbkk.com/jobs/detailurgent/180147/1335309,"นักวิเคราะห์ข้อมูล (Data Analyst) บริษัท อวิเอเท็ค จำกัด รับสมัครด่วน 3 ชั่วโมงที่แล้ว กรุงเทพมหานคร เขตบางนา ตามตกลง นักวิเคราะห์ข้อมูล (Data Analyst) บริษัท อวิเอเท็ค จำกัด กรุงเทพมหานคร เขตบางนา ตามตกลง BTS อุดมสุข,บางนา อ่านรายละเอียดงาน"
data analyst,,กรุงเทพมหานคร,1,นักวิเคราะห์ข้อมูล(Data Analyst),บริษัท มาราธอน (ประเทศไทย) จำกัด,กรุงเทพมหานคร เขตบางกอกน้อย,ตามตกลง,11/02/2026 10:03,https://jobbkk.com/jobs/detailurgent/205132/1288004,"นักวิเคราะห์ข้อมูล(Data Analyst) บริษัท มาราธอน (ประเทศไทย) จำกัด รับสมัครด่วน 6 วันที่แล้ว กรุงเทพมหานคร เขตบางกอกน้อย ตามตกลง นักวิเคราะห์ข้อมูล(Data Analyst) บริษัท มาราธอน (ประเทศไทย) จำกัด กรุงเทพมหานคร เขตบางกอกน้อย ตามตกลง MRT บางอ้อ,บางพลัด,สิรินธร อ่านรายละเอียดงาน"
data analyst,,กรุงเทพมหานคร,1,เจ้าหน้าที่วิเคราะห์ข้อมูล (Data Analyst),บจก.คอสซูติค อินโนเวชั่น แลบอราทอรี่ส์,กรุงเทพมหานคร เขตพระโขนง,"18,000 - 25,000 บาท",16/02/2026 18:39,https://jobbkk.com/jobs/detailurgent/203081/1359642,"เจ้าหน้าที่วิเคราะห์ข้อมูล (Data Analyst) บจก.คอสซูติค อินโนเวชั่น แลบอราทอรี่ส์ รับสมัครด่วน 19 ชั่วโมงที่แล้ว กรุงเทพมหานคร เขตพระโขนง 18,000 - 25,000 บาท เจ้าหน้าที่วิเคราะห์ข้อมูล (Data Analyst) บจก.คอสซูติค อินโนเวชั่น แลบอราทอรี่ส์ กรุงเทพมหานคร เขตพระโขนง 18,000 - 25,000 บาท นักศึกษาจบใหม่ / ผู้ไม่มีประสบการณ์ BTS บางจาก อ่านรายละเอียดงาน"
