keyword,province_code,province_name,page,job_title,company,location,salary,posted_date,job_url,raw_text
data engineer,,กรุงเทพมหานคร,1,Data Engineer,SUNSUSOLUTION COMPANY LIMITED,กรุงเทพมหานคร,,4 นาทีที่ผ่านมา,https://th.jobsdb.com/th/job/90366546?type=standard&ref=search-standalone&origin=jobCard,Listed more than four days ago Data Engineer ที่ SUNSUSOLUTION COMPANY LIMITED นี่คืองานงานเต็มเวลา กรุงเทพมหานคร Internet Banking Seeking a Senior Data Engineer to design and build data pipelines and ensure data quality. Seeking a Senior Data Engineer to design and build data pipelines and ensure data quality. subClassification: งานพัฒนาและบริหารจัดการฐานข้อมูล งานพัฒนาและบริหารจัดการฐานข้อมูล classification: งานไอที งานเทคโนโลยีสื่อสาร (งานไอที งานเทคโนโลยีสื่อสาร) 4 นาทีที่ผ่านมา 4 นาทีที่ผ่านมา
data engineer,,บางกะปิ กรุงเทพมหานคร,1,Data Engineer / ETL Developer - Bang Kapi,PERSOL Thailand,บางกะปิ กรุงเทพมหานคร,,38 นาทีที่ผ่านมา,https://th.jobsdb.com/th/job/90387660?type=standard&ref=search-standalone&origin=jobCard,"Listed more than thirty eight days ago Data Engineer / ETL Developer - Bang Kapi ที่ PERSOL Thailand สมัครงานนี้ก่อนใคร คลิก นี่คืองานงานสัญญาจ้าง บางกะปิ กรุงเทพมหานคร Data Engineer / ETL Developer Data Integration Solutions Data Engineer / ETL Developer Data Integration Solutions We are looking for a Data Engineer to design, build, and optimize ETL/ELT pipelines, implement data solutions, and support data integration projects. We are looking for a Data Engineer to design, build, and optimize ETL/ELT pipelines, implement data solutions, and support data integration projects. subClassification: งานโปรแกรมเมอร์ งานโปรแกรมเมอร์ classification: งานไอที งานเทคโนโลยีสื่อสาร (งานไอที งานเทคโนโลยีสื่อสาร) 38 นาทีที่ผ่านมา 38 นาทีที่ผ่านมา"
data engineer,,กรุงเทพมหานคร,1,Data Engineer,CardX Company Limited,กรุงเทพมหานคร,,1 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90361068?type=standard&ref=search-standalone&origin=jobCard,"Listed more than one day ago Data Engineer ที่ CardX Company Limited นี่คืองานงานเต็มเวลา กรุงเทพมหานคร ( ไฮบริด ) Minimum 3 years of experience in a Data Engineering or Data Management Hands-on in Enterprise Data Warehouse, Data Lake Creates and maintains data pipelines Minimum 3 years of experience in a Data Engineering or Data Management Hands-on in Enterprise Data Warehouse, Data Lake Creates and maintains data pipelines We're seeking Data Engineer to be responsible for laying the foundations for the acquisition,storage,transformation(data pipeline),management of data. We're seeking Data Engineer to be responsible for laying the foundations for the acquisition,storage,transformation(data pipeline),management of data. subClassification: งานพัฒนาและบริหารจัดการฐานข้อมูล งานพัฒนาและบริหารจัดการฐานข้อมูล classification: งานไอที งานเทคโนโลยีสื่อสาร (งานไอที งานเทคโนโลยีสื่อสาร) 1 วันที่ผ่านมา 1 วันที่ผ่านมา"
data engineer,,พระโขนง กรุงเทพมหานคร,1,[Bangchak] Senior Data Engineer,Bangchak Corporation Public Company Limited,พระโขนง กรุงเทพมหานคร,,1 ชั่วโมงที่ผ่านมา,https://th.jobsdb.com/th/job/90386156?type=standard&ref=search-standalone&origin=jobCard,"Listed more than one day ago [Bangchak] Senior Data Engineer ที่ Bangchak Corporation Public Company Limited สมัครงานนี้ก่อนใคร คลิก นี่คืองานงานเต็มเวลา พระโขนง กรุงเทพมหานคร key role in designing, developing, and managing cloud-based data platforms, as well as creating data structures for high-level data analysis key role in designing, developing, and managing cloud-based data platforms, as well as creating data structures for high-level data analysis subClassification: งานสถาปนิก งานสถาปนิก classification: งานไอที งานเทคโนโลยีสื่อสาร (งานไอที งานเทคโนโลยีสื่อสาร) 1 ชั่วโมงที่ผ่านมา 1 ชั่วโมงที่ผ่านมา"
data engineer,,พระโขนง กรุงเทพมหานคร,1,Data Engineer,"Thai Insurance Research and Development Co., Ltd.",พระโขนง กรุงเทพมหานคร,,5 วันที่ผ่านมา,https://th.jobsdb.com/th/job/89773901?type=standard&ref=search-standalone&origin=jobCard,"Listed more than five days ago Data Engineer ที่ Thai Insurance Research and Development Co., Ltd. นี่คืองานงานเต็มเวลา พระโขนง กรุงเทพมหานคร Build from the Ground Up: โอกาสสำคัญในการออกแบบและสร้างแพลตฟอร์มข้อมูลใหม่ Real-WorldProblemSolving:ท้าทายทักษะการแก้ปัญหาจัดการกับData Pipeline ที่ซับซ้อน เพื่อขับเคลื่อนมาตรฐานอุตสาหกรรมประกันวินาศภัยทั่วประเทศ Build from the Ground Up: โอกาสสำคัญในการออกแบบและสร้างแพลตฟอร์มข้อมูลใหม่ Real-WorldProblemSolving:ท้าทายทักษะการแก้ปัญหาจัดการกับData Pipeline ที่ซับซ้อน เพื่อขับเคลื่อนมาตรฐานอุตสาหกรรมประกันวินาศภัยทั่วประเทศ We’re looking for a Data Engineer who’s ready to roll up their sleeves and tackle real-world challenges We’re looking for a Data Engineer who’s ready to roll up their sleeves and tackle real-world challenges subClassification: งานพัฒนาและบริหารจัดการฐานข้อมูล งานพัฒนาและบริหารจัดการฐานข้อมูล classification: งานไอที งานเทคโนโลยีสื่อสาร (งานไอที งานเทคโนโลยีสื่อสาร) 5 วันที่ผ่านมา 5 วันที่ผ่านมา"
data engineer,,ปทุมวัน กรุงเทพมหานคร,1,Data Platform Engineer (mid/senior),WARRIX SPORT PUBLIC COMPANY LIMITED,ปทุมวัน กรุงเทพมหานคร,"฿50,000 – ฿70,000 per month",5 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90241704?type=standard&ref=search-standalone&origin=jobCard,"Listed more than five days ago Data Platform Engineer (mid/senior) ที่ WARRIX SPORT PUBLIC COMPANY LIMITED นี่คืองานงานเต็มเวลา ปทุมวัน กรุงเทพมหานคร ( ไฮบริด ) ฿50,000 – ฿70,000 per month Data Engineer Data Engineer Warrix Sport is looking for a Mid to Senior Data Platform Engineer to design Warrix Sport is looking for a Mid to Senior Data Platform Engineer to design subClassification: งานวิศวกร - ซอฟต์แวร์ งานวิศวกร - ซอฟต์แวร์ classification: งานไอที งานเทคโนโลยีสื่อสาร (งานไอที งานเทคโนโลยีสื่อสาร) 5 วันที่ผ่านมา 5 วันที่ผ่านมา"
data engineer,,กรุงเทพมหานคร,1,Senior Data Platform Engineer (Contract),CGP Recruitment (Thailand) Company Limited,กรุงเทพมหานคร,"฿100,000 – ฿120,000 per month",44 นาทีที่ผ่านมา,https://th.jobsdb.com/th/job/90387501?type=standard&ref=search-standalone&origin=jobCard,"Listed more than forty four days ago Senior Data Platform Engineer (Contract) ที่ CGP Recruitment (Thailand) Company Limited สมัครงานนี้ก่อนใคร คลิก นี่คืองานงานเต็มเวลา กรุงเทพมหานคร ฿100,000 – ฿120,000 per month Design and maintain scalable, automated data platforms with strong focus on quality, CI/CD, cloud infrastructure, and performance optimization. Design and maintain scalable, automated data platforms with strong focus on quality, CI/CD, cloud infrastructure, and performance optimization. subClassification: งานผู้ดูแลระบบเครือข่าย งานผู้ดูแลระบบเครือข่าย classification: งานไอที งานเทคโนโลยีสื่อสาร (งานไอที งานเทคโนโลยีสื่อสาร) 44 นาทีที่ผ่านมา 44 นาทีที่ผ่านมา"
data engineer,,ปทุมวัน กรุงเทพมหานคร,1,Data engineer,"Siam Paragon Development Co., Ltd.",ปทุมวัน กรุงเทพมหานคร,,4 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90308122?type=standard&ref=search-standalone&origin=jobCard,"Listed more than four days ago Data engineer ที่ Siam Paragon Development Co., Ltd. นี่คืองานงานเต็มเวลา ปทุมวัน กรุงเทพมหานคร Cloud, Python, Java or similar Build data systems and pipelines Hands-on experience with SQL database design Cloud, Python, Java or similar Build data systems and pipelines Hands-on experience with SQL database design Design and develop scalable data architecture, build ETL pipelines, and automate processes to support advanced business analytics. Design and develop scalable data architecture, build ETL pipelines, and automate processes to support advanced business analytics. subClassification: งานพัฒนาและบริหารจัดการฐานข้อมูล งานพัฒนาและบริหารจัดการฐานข้อมูล classification: งานไอที งานเทคโนโลยีสื่อสาร (งานไอที งานเทคโนโลยีสื่อสาร) 4 วันที่ผ่านมา 4 วันที่ผ่านมา"
data engineer,,บางรัก กรุงเทพมหานคร,1,Data Engineer,ExxonMobil Limited,บางรัก กรุงเทพมหานคร,,28 วันที่ผ่านมา,https://th.jobsdb.com/th/job/89775367?type=standard&ref=search-standalone&origin=jobCard,"Listed more than twenty eight days ago Data Engineer ที่ ExxonMobil Limited ใกล้หมดอายุ นี่คืองานงานเต็มเวลา บางรัก กรุงเทพมหานคร Hands-on experience with Snowflake, DBT, Azure, ADF, and GitHub workflows. Strong SQL skills and experience with data modeling. International working environment Hands-on experience with Snowflake, DBT, Azure, ADF, and GitHub workflows. Strong SQL skills and experience with data modeling. International working environment At ExxonMobil, our vision is to lead in energy innovations that advance modern living and a net-zero future. At ExxonMobil, our vision is to lead in energy innovations that advance modern living and a net-zero future. subClassification: งานพัฒนาและบริหารจัดการฐานข้อมูล งานพัฒนาและบริหารจัดการฐานข้อมูล classification: งานไอที งานเทคโนโลยีสื่อสาร (งานไอที งานเทคโนโลยีสื่อสาร) 28 วันที่ผ่านมา 28 วันที่ผ่านมา"
data engineer,,สาทร กรุงเทพมหานคร,1,"Data Analyst, Data Scientist, Data Engineer",Land and Houses Bank Public Company Limited,สาทร กรุงเทพมหานคร,,24 วันที่ผ่านมา,https://th.jobsdb.com/th/job/89901519?type=standard&ref=search-standalone&origin=jobCard,"Listed more than twenty four days ago Data Analyst, Data Scientist, Data Engineer ที่ Land and Houses Bank Public Company Limited ใกล้หมดอายุ นี่คืองานงานเต็มเวลา สาทร กรุงเทพมหานคร Experience in Financial Industry Data Analyst, Data Scientist, Data Engineer Onsite 100% Experience in Financial Industry Data Analyst, Data Scientist, Data Engineer Onsite 100% Data Analyst, Data Scientist, Data Engineer Data Analyst, Data Scientist, Data Engineer subClassification: งานคณิตศาสตร์ งานสถิติ งานสารสนเทศศาสตร์ งานคณิตศาสตร์ งานสถิติ งานสารสนเทศศาสตร์ classification: งานวิทยาศาสตร์ งานเทคโนโลยี (งานวิทยาศาสตร์ งานเทคโนโลยี) 24 วันที่ผ่านมา 24 วันที่ผ่านมา"
data engineer,,คลองเตย กรุงเทพมหานคร,1,Cloud Solution Engineer - AWS (Infra / DevOps / Data / Security),"DailiTech Co., Ltd. (Head Office)",คลองเตย กรุงเทพมหานคร,,5 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90287802?type=standard&ref=search-standalone&origin=jobCard,"Listed more than five days ago Cloud Solution Engineer - AWS (Infra / DevOps / Data / Security) ที่ DailiTech Co., Ltd. (Head Office) นี่คืองานงานเต็มเวลา คลองเตย กรุงเทพมหานคร ( ไฮบริด ) โอกาสการเติบโตไม่จำกัด งานที่มีความหมาย วัฒนธรรมการทำงานที่เป็นเลิศ โอกาสการเติบโตไม่จำกัด งานที่มีความหมาย วัฒนธรรมการทำงานที่เป็นเลิศ ตำแหน่ง Cloud Solution Engineer ที่เดลิเทค เหมาะสำหรับผู้มีความรู้ด้านคลาวด์และระบบ IT พร้อมทำงานกับลูกค้าและพัฒนาตัวเองอย่างต่อเนื่อง ตำแหน่ง Cloud Solution Engineer ที่เดลิเทค เหมาะสำหรับผู้มีความรู้ด้านคลาวด์และระบบ IT พร้อมทำงานกับลูกค้าและพัฒนาตัวเองอย่างต่อเนื่อง subClassification: งานสถาปนิก งานสถาปนิก classification: งานไอที งานเทคโนโลยีสื่อสาร (งานไอที งานเทคโนโลยีสื่อสาร) 5 วันที่ผ่านมา 5 วันที่ผ่านมา"
data engineer,,พระโขนง กรุงเทพมหานคร,1,(GEM) Data Engineer สัญญาจ้าง (This position is under GEM Company Limited),Bangchak Corporation Public Company Limited,พระโขนง กรุงเทพมหานคร,"฿25,000 – ฿30,000 per month",3 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90338614?type=standard&ref=search-standalone&origin=jobCard,"Listed more than three days ago (GEM) Data Engineer สัญญาจ้าง (This position is under GEM Company Limited) ที่ Bangchak Corporation Public Company Limited นี่คืองานงานเต็มเวลา พระโขนง กรุงเทพมหานคร ฿25,000 – ฿30,000 per month . . subClassification: งานวิศวกร - ซอฟต์แวร์ งานวิศวกร - ซอฟต์แวร์ classification: งานไอที งานเทคโนโลยีสื่อสาร (งานไอที งานเทคโนโลยีสื่อสาร) 3 วันที่ผ่านมา 3 วันที่ผ่านมา"
data engineer,,คลองเตย กรุงเทพมหานคร,1,Data Analytic / Data Engineer,Thai Beverage Public Company Limited,คลองเตย กรุงเทพมหานคร,,6 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90273864?type=standard&ref=search-standalone&origin=jobCard,"Listed more than six days ago Data Analytic / Data Engineer ที่ Thai Beverage Public Company Limited นี่คืองานงานเต็มเวลา คลองเตย กรุงเทพมหานคร ดูแลระบบ data pipeline ทั้งฝั่ง real-time กับ batch processing Spark, Kafka, Airflow data lake กับ data warehouse ดูแลระบบ data pipeline ทั้งฝั่ง real-time กับ batch processing Spark, Kafka, Airflow data lake กับ data warehouse subClassification: งานพัฒนาและบริหารจัดการฐานข้อมูล งานพัฒนาและบริหารจัดการฐานข้อมูล classification: งานไอที งานเทคโนโลยีสื่อสาร (งานไอที งานเทคโนโลยีสื่อสาร) 6 วันที่ผ่านมา 6 วันที่ผ่านมา"
