keyword,province_code,province_name,page,job_title,company,location,salary,posted_date,job_url,raw_text
Data Engineer,01,กรุงเทพมหานคร,1,Data Engineer,บริษัท ที.ซี.ซี.เทคโนโลยี จำกัด,BTS ศาลาแดง,ตามประสบการณ์,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1838785,"Data Engineer บริษัท ที.ซี.ซี.เทคโนโลยี จำกัด บริษัท ที.ซี.ซี.เทคโนโลยี จำกัด BTS ศาลาแดง MRT สามย่าน, สีลม ตามประสบการณ์ สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Engineer,14,จ.เชียงใหม่,1,Data Engineer,บริษัท เอ็กซา ซีแลม จำกัด,อ.สันทราย จ.เชียงใหม่,"25,000 - 30,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1861829,"Data Engineer บริษัท เอ็กซา ซีแลม จำกัด บริษัท เอ็กซา ซีแลม จำกัด อ.สันทราย จ.เชียงใหม่ 25,000 - 30,000 บาท 16 ก.พ. 69"
Data Engineer,28,จ.ปทุมธานี,1,Data Engineer,บริษัท ดิจิทัลสโตร์เมช จำกัด,อ.คลองหลวง จ.ปทุมธานี,"30,000 - 40,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1852384,"Data Engineer 16 ก.พ. 69 บริษัท ดิจิทัลสโตร์เมช จำกัด บริษัท ดิจิทัลสโตร์เมช จำกัด รับสมัครด่วน อ.คลองหลวง จ.ปทุมธานี 30,000 - 40,000 บาท"
Data Engineer,01,กรุงเทพมหานคร,1,Data Engineer,"บริษัท ทีคิวเอ็ม อินชัวร์รันส์ โบรคเกอร์ จำกัด, TQM",เขตลาดพร้าว กรุงเทพมหานคร,ตามโครงสร้างบริษัทฯ,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1309018,"Data Engineer บริษัท ทีคิวเอ็ม อินชัวร์รันส์ โบรคเกอร์ จำกัด, TQM บริษัท ทีคิวเอ็ม อินชัวร์รันส์ โบรคเกอร์ จำกัด, TQM เขตลาดพร้าว กรุงเทพมหานคร ตามโครงสร้างบริษัทฯ Hybrid Work สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Engineer,01,กรุงเทพมหานคร,1,Data Engineer,BEARHOUSE & SUNSU,MRT เพชรบุรี,"40,000 - 50,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1863185,"Data Engineer BEARHOUSE & SUNSU BEARHOUSE & SUNSU MRT เพชรบุรี ARL มักกะสัน 40,000 - 50,000 บาท สัมภาษณ์งานออนไลน์ 16 ก.พ. 69"
Data Engineer,01,กรุงเทพมหานคร,1,Senior Data Engineer,บริษัท จัดหางานอเด็คโก้ พหลโยธิน จำกัด,กรุงเทพมหานคร,"48,000 - 58,000 บาท",10 ก.พ. 69,https://www.jobthai.com/th/company/job/1740453,"Senior Data Engineer บริษัท จัดหางานอเด็คโก้ พหลโยธิน จำกัด บริษัท จัดหางานอเด็คโก้ พหลโยธิน จำกัด กรุงเทพมหานคร 48,000 - 58,000 บาท สัมภาษณ์งานออนไลน์ 10 ก.พ. 69"
Data Engineer,09,จ.ชลบุรี,1,Data Engineer (74972),"Reeracoen Eastern Seaboard Recruitment Co., Ltd.",อ.เมืองชลบุรี จ.ชลบุรี,"30,000 - 35,000 บาท",13 ก.พ. 69,https://www.jobthai.com/th/company/job/1859834,"Data Engineer (74972) Reeracoen Eastern Seaboard Recruitment Co., Ltd. Reeracoen Eastern Seaboard Recruitment Co., Ltd. อ.เมืองชลบุรี จ.ชลบุรี 30,000 - 35,000 บาท 13 ก.พ. 69"
Data Engineer,01,กรุงเทพมหานคร,1,Data Engineer (Hybird),SUN VENDING TECHNOLOGY PUBLIC COMPANY LIMITED,MRT ศรีกรีฑา,"25,000 - 30,000 บาท",11 ก.พ. 69,https://www.jobthai.com/th/company/job/1855987,"Data Engineer (Hybird) SUN VENDING TECHNOLOGY PUBLIC COMPANY LIMITED SUN VENDING TECHNOLOGY PUBLIC COMPANY LIMITED MRT ศรีกรีฑา 25,000 - 30,000 บาท Hybrid Work สัมภาษณ์งานออนไลน์ 11 ก.พ. 69"
Data Engineer,09,จ.ชลบุรี,1,Automotive Data Engineer,บริษัท อะซิมุท เอเชีย แปซิฟิก จำกัด,นิคมอุตสาหกรรมอมตะซิตี้ ชลบุรี จ.ชลบุรี,ตามตกลง,10 ก.พ. 69,https://www.jobthai.com/th/company/job/1820301,Automotive Data Engineer บริษัท อะซิมุท เอเชีย แปซิฟิก จำกัด บริษัท อะซิมุท เอเชีย แปซิฟิก จำกัด นิคมอุตสาหกรรมอมตะซิตี้ ชลบุรี จ.ชลบุรี ตามตกลง 10 ก.พ. 69
Data Engineer,01,กรุงเทพมหานคร,1,Data Engineer – Enterprise Data Platforms,"Intelligent AI Technology Co., Ltd.",กรุงเทพมหานคร,"55,000 - 80,000 บาท",16 ก.พ. 69,https://www.jobthai.com/th/company/job/1864001,"Data Engineer – Enterprise Data Platforms 16 ก.พ. 69 Intelligent AI Technology Co., Ltd. Intelligent AI Technology Co., Ltd. กรุงเทพมหานคร 55,000 - 80,000 บาท Hybrid Work สัมภาษณ์งานออนไลน์"
