keyword,province_code,province_name,page,job_title,company,location,salary,posted_date,job_url,raw_text
Data Analyst,01,กรุงเทพมหานคร,1,Data Analyst,บริษัท เมืองไทย แคปปิตอล จำกัด (มหาชน),MRT บางพลัด,"22,000 - 23,000 บาท",17 ก.พ. 69,https://www.jobthai.com/th/company/job/1752582,"Data Analyst บริษัท เมืองไทย แคปปิตอล จำกัด (มหาชน) บริษัท เมืองไทย แคปปิตอล จำกัด (มหาชน) MRT บางพลัด 22,000 - 23,000 บาท สัมภาษณ์งานออนไลน์ 17 ก.พ. 69"
Data Analyst,01,กรุงเทพมหานคร,1,Data Analyst,S45 Clinic,BTS พร้อมพงษ์,ตามตกลง,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1844306,Data Analyst S45 Clinic S45 Clinic BTS พร้อมพงษ์ ตามตกลง สัมภาษณ์งานออนไลน์ 16 ก.พ. 69
Data Analyst,32,จ.พระนครศรีอยุธยา,1,Data Analyst,"Tech Solution AI Co., Ltd.",อ.วังน้อย จ.พระนครศรีอยุธยา,ตามตกลง,17 ก.พ. 69,https://www.jobthai.com/th/company/job/1857706,"Data Analyst Tech Solution AI Co., Ltd. Tech Solution AI Co., Ltd. รับสมัครด่วน อ.วังน้อย จ.พระนครศรีอยุธยา ตามตกลง 17 ก.พ. 69"
Data Analyst,01,กรุงเทพมหานคร,1,Data Analyst,บริษัท เอฟซีซี เซอร์วิสเซส จำกัด,MRT ภาวนา,"17,000 - 22,000 บาท",17 ก.พ. 69,https://www.jobthai.com/th/company/job/1755307,"Data Analyst บริษัท เอฟซีซี เซอร์วิสเซส จำกัด บริษัท เอฟซีซี เซอร์วิสเซส จำกัด รับสมัครด่วน MRT ภาวนา 17,000 - 22,000 บาท 17 ก.พ. 69"
Data Analyst,01,กรุงเทพมหานคร,1,Data Analyst,บริษัท เริ่มใหม่ จำกัด,เขตสายไหม กรุงเทพมหานคร,ตามความสามารถและประสบการณ์,17 ก.พ. 69,https://www.jobthai.com/th/company/job/1643374,Data Analyst บริษัท เริ่มใหม่ จำกัด บริษัท เริ่มใหม่ จำกัด เขตสายไหม กรุงเทพมหานคร ตามความสามารถและประสบการณ์ 17 ก.พ. 69
Data Analyst,01,กรุงเทพมหานคร,1,Data Analyst,บริษัท ซาบีน่า จำกัด (มหาชน),เขตบางกอกน้อย กรุงเทพมหานคร,ตามตกลง,17 ก.พ. 69,https://www.jobthai.com/th/company/job/1862880,Data Analyst บริษัท ซาบีน่า จำกัด (มหาชน) บริษัท ซาบีน่า จำกัด (มหาชน) เขตบางกอกน้อย กรุงเทพมหานคร ตามตกลง Hybrid Work สัมภาษณ์งานออนไลน์ 17 ก.พ. 69
Data Analyst,01,กรุงเทพมหานคร,1,Data Analyst,บริษัท ชับบ์สามัคคีประกันภัย จำกัด (มหาชน),เขตหลักสี่ กรุงเทพมหานคร,ตามตกลง,17 ก.พ. 69,https://www.jobthai.com/th/company/job/1824648,Data Analyst บริษัท ชับบ์สามัคคีประกันภัย จำกัด (มหาชน) บริษัท ชับบ์สามัคคีประกันภัย จำกัด (มหาชน) เขตหลักสี่ กรุงเทพมหานคร ตามตกลง 17 ก.พ. 69
Data Analyst,28,จ.ปทุมธานี,1,Data Analyst,บริษัท ดูโฮม จำกัด (มหาชน),อ.เมืองปทุมธานี จ.ปทุมธานี,"18,000 - 30,000 บาท",17 ก.พ. 69,https://www.jobthai.com/th/company/job/1809674,"Data Analyst บริษัท ดูโฮม จำกัด (มหาชน) บริษัท ดูโฮม จำกัด (มหาชน) อ.เมืองปทุมธานี จ.ปทุมธานี 18,000 - 30,000 บาท สัมภาษณ์งานออนไลน์ 17 ก.พ. 69"
Data Analyst,01,กรุงเทพมหานคร,1,Data Analyst / Business Data Analyst,บริษัท ฟังก์ชั่น อินเตอร์เนชั่นแนล จำกัด (มหาชน),เขตคลองสามวา กรุงเทพมหานคร,"20,000 - 30,000 บาท",17 ก.พ. 69,https://www.jobthai.com/th/company/job/1854175,"Data Analyst / Business Data Analyst 17 ก.พ. 69 บริษัท ฟังก์ชั่น อินเตอร์เนชั่นแนล จำกัด (มหาชน) บริษัท ฟังก์ชั่น อินเตอร์เนชั่นแนล จำกัด (มหาชน) เขตคลองสามวา กรุงเทพมหานคร 20,000 - 30,000 บาท"
Data Analyst,01,กรุงเทพมหานคร,1,Data Analyst - BNG,บริษัท เบญจจินดา โฮลดิ้ง จำกัด,SRT บางเขน,ตามประสบการณ์,16 ก.พ. 69,https://www.jobthai.com/th/company/job/1858004,Data Analyst - BNG บริษัท เบญจจินดา โฮลดิ้ง จำกัด บริษัท เบญจจินดา โฮลดิ้ง จำกัด SRT บางเขน ตามประสบการณ์ 16 ก.พ. 69
