title,company,location,posted_date,url
Data Analyst (Fraud Management),Triple T Broadband Public Company Limited,ปากเกร็ด นนทบุรี,1 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90337958?type=standard&ref=search-standalone
Data Analyst,"Focus Media (Thailand) Co., Ltd.",กรุงเทพมหานคร,3 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90278961?type=standard&ref=search-standalone
Data Analyst,GMM Grammy Public Company Limited,วัฒนา กรุงเทพมหานคร,2 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90297020?type=standard&ref=search-standalone
Data Analyst – Business Decision & Data Quality,Maybank Securities (Thailand) Public Company Limited,กรุงเทพมหานคร,18 วันที่ผ่านมา,https://th.jobsdb.com/th/job/89949693?type=standard&ref=search-standalone
Data Analyst (Executive Support),Master Style Public Company Limited,ดุสิต กรุงเทพมหานคร,2 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90300290?type=standard&ref=search-standalone
Business Analyst (Regulatory Data),Bank of Ayudhya Public Company Limited,ยานนาวา กรุงเทพมหานคร,1 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90334018?type=standard&ref=search-standalone
Product Data and Reporting Officer,SCG CERAMICS PUBLIC COMPANY LIMITED,ดอนเมือง กรุงเทพมหานคร,3 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90272928?type=standard&ref=search-standalone
Data Analyst / นักวิเคราะห์ข้อมูล (ธุรกิจหลักทรัพย์) Urgent Required,"SBI Thai Online Securities Co., Ltd.",ห้วยขวาง กรุงเทพมหานคร,2 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90309715?type=standard&ref=search-standalone
Data Analyst (Food Business),Central Group (Central Pattana Public Company Limited),ปทุมวัน กรุงเทพมหานคร,16 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90012046?type=standard&ref=search-standalone
เจ้าหน้าที่วิเคราะห์ข้อมูล (MIS/Data Analyst),Muang Thai Life Assurance Public Company Limited,ห้วยขวาง กรุงเทพมหานคร,9 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90163043?type=standard&ref=search-standalone
Commercial Data Analyst (1-3 yrs.) under Commercial Strategy Manager,"Berlin Pharmaceutical Industry Co., Ltd.",กรุงเทพมหานคร,15 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90031204?type=standard&ref=search-standalone
เจ้าหน้าที่วิเคราะห์ข้อมูล (MIS/Data Analyst),Muang Thai Life Assurance Public Company Limited,ห้วยขวาง กรุงเทพมหานคร,29 วันที่ผ่านมา,https://th.jobsdb.com/th/job/89736766?type=standard&ref=search-standalone
Data Analyst (Carrier Business),"Huawei Technologies (Thailand) Co., Ltd.",ห้วยขวาง กรุงเทพมหานคร,2 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90306931?type=standard&ref=search-standalone
Data Analytics,"Siam Bheasach Co., Ltd.",จตุจักร กรุงเทพมหานคร,3 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90285862?type=standard&ref=search-standalone
HR Data Analyst,TMT STEEL PUBLIC COMPANY LIMITED,สาทร กรุงเทพมหานคร,2 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90305530?type=standard&ref=search-standalone
Business Intelligence & Data Analytics,PTG Energy Public Company Limited,ห้วยขวาง กรุงเทพมหานคร,2 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90310949?type=standard&ref=search-standalone
Business Analyst,HCL Singapore Pte Ltd,กรุงเทพมหานคร,23 วันที่ผ่านมา,https://th.jobsdb.com/th/job/89861817?type=standard&ref=search-standalone
Fraud Data Analyst,Ascend Money Group,กรุงเทพมหานคร,24 วันที่ผ่านมา,https://th.jobsdb.com/th/job/89830956?type=standard&ref=search-standalone
"Data Analyst, Data Scientist, Data Engineer",Land and Houses Bank Public Company Limited,สาทร กรุงเทพมหานคร,22 วันที่ผ่านมา,https://th.jobsdb.com/th/job/89901519?type=standard&ref=search-standalone
Project Analyst,ผู้ประกอบการไม่เปิดเผยชื่อบริษัท,เมืองนนทบุรี นนทบุรี,24 วันที่ผ่านมา,https://th.jobsdb.com/th/job/89839787?type=standard&ref=search-standalone
Data Analysis,THE DHARMNITI PUBLIC COMPANY LIMITED,บางซื่อ กรุงเทพมหานคร,3 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90270859?type=standard&ref=search-standalone
Senior Data Analytics & Research Analyst,SC Asset Corporation Public Company Limited,จตุจักร กรุงเทพมหานคร,17 วันที่ผ่านมา,https://th.jobsdb.com/th/job/89960819?type=standard&ref=search-standalone
BI Analyst,"N Infinite Co.,Ltd.",กรุงเทพมหานคร,1 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90325356?type=standard&ref=search-standalone
Credit Risk Analyst (Data Analyst),"MONIX Co., Ltd.",จตุจักร กรุงเทพมหานคร,19 วันที่ผ่านมา,https://th.jobsdb.com/th/job/89927017?type=standard&ref=search-standalone
Data Analyst Specialist (Financial Services),Ascend Money Group,กรุงเทพมหานคร,3 วันที่ผ่านมา,https://th.jobsdb.com/th/job/90273625?type=standard&ref=search-standalone
